Quantitative Metrics Summary
================================================================================
  NA     ε       Type    α   FWHM(μm)  Sidelobe%   Airy(μm)
--------------------------------------------------------------------------------
 0.1  0.00    Uniform    -     2.7397       1.76     3.2452
 0.1  0.00   Gaussian  1.0     2.9354       0.48     3.2452
 0.1  0.00   Gaussian  2.0     3.3267       0.04     3.2452
 0.1  0.00   Gaussian  4.0     4.1095        N/A     3.2452
 0.1  0.50    Uniform    -     2.3483       9.66     3.2452
 0.1  0.50   Gaussian  1.0     2.4461       9.25     3.2452
 0.1  0.50   Gaussian  2.0     2.5440       9.15     3.2452
 0.1  0.50   Gaussian  4.0     2.7397       9.78     3.2452
 0.1  0.99    Uniform    -     1.8591      16.29     3.2452
 0.1  0.99   Gaussian  1.0     1.8591      16.29     3.2452
 0.1  0.99   Gaussian  2.0     1.8591      16.29     3.2452
 0.1  0.99   Gaussian  4.0     1.8591      16.29     3.2452
 0.9  0.00    Uniform    -     0.3370        N/A     0.3606
 0.9  0.00   Gaussian  1.0     0.3588        N/A     0.3606
 0.9  0.00   Gaussian  2.0     0.3914       0.10     0.3606
 0.9  0.00   Gaussian  4.0     0.4675        N/A     0.3606
 0.9  0.50    Uniform    -     0.3262      14.14     0.3606
 0.9  0.50   Gaussian  1.0     0.3262      12.82     0.3606
 0.9  0.50   Gaussian  2.0     0.3262      12.07     0.3606
 0.9  0.50   Gaussian  4.0     0.3479      12.03     0.3606
 0.9  0.99    Uniform    -     0.3914      17.93     0.3606
 0.9  0.99   Gaussian  1.0     0.3914      17.93     0.3606
 0.9  0.99   Gaussian  2.0     0.3914      17.93     0.3606
 0.9  0.99   Gaussian  4.0     0.3914      17.93     0.3606
